evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
17,0.5821791165668163,0.6855236618925925,0.9488457832334828,0.06428571428571428,17,0.9498093761783066,0.05821428571428571,21,0,pso,0
18,-0.20270050414065655,0.6855236618925925,0.9556328291926767,0.10196428571428572,25,0.9498093761783066,0.05821428571428571,21,0,pso,0
19,0.8200980700210874,0.8200980700210874,0.949264736687754,0.051696428571428574,20,0.949264736687754,0.051696428571428574,20,0,pso,0
20,0.6077308383657625,0.8200980700210874,0.9517784574133814,0.061964285714285715,22,0.949264736687754,0.051696428571428574,20,0,pso,0
21,0.3507816723823889,0.8200980700210874,0.9501864342871507,0.07544642857142857,19,0.949264736687754,0.051696428571428574,20,0,pso,0
22,-2.2317570957747543,0.8200980700210874,0.9997905232728644,0.20705357142857142,19,0.949264736687754,0.051696428571428574,20,0,pso,0
23,0.6394318741783026,0.8200980700210874,0.9471699694163979,0.061339285714285714,17,0.949264736687754,0.051696428571428574,20,0,pso,0
24,-1.1790693098639595,0.8200980700210874,0.9905735472788973,0.15348214285714284,21,0.949264736687754,0.051696428571428574,20,0,pso,0
25,0.6234648847179747,0.8200980700210874,0.9401315513846412,0.06107142857142857,20,0.949264736687754,0.051696428571428574,20,0,pso,0
26,-1.3533570889916988,0.8200980700210874,0.9912857681511584,0.16294642857142858,18,0.949264736687754,0.051696428571428574,20,0,pso,0
27,0.7173906581359764,0.8200980700210874,0.9483430390883573,0.05678571428571429,20,0.949264736687754,0.051696428571428574,20,0,pso,0
28,0.5846612661571395,0.8200980700210874,0.9477565042523776,0.061964285714285715,26,0.949264736687754,0.051696428571428574,20,0,pso,0
29,-0.326976762048403,0.8200980700210874,0.9813565712849303,0.11089285714285714,19,0.949264736687754,0.051696428571428574,20,0,pso,0
30,0.7671431264700778,0.8200980700210874,0.956428840755792,0.054464285714285715,21,0.949264736687754,0.051696428571428574,20,0,pso,0
31,0.3653519508268348,0.8200980700210874,0.9510662365411203,0.07357142857142857,24,0.949264736687754,0.051696428571428574,20,0,pso,0
32,0.845131262107256,0.845131262107256,0.9498931668691608,0.045625,22,0.9498931668691608,0.045625,22,0,pso,0
33,-0.2001491524172615,0.845131262107256,0.9813984666303573,0.103125,25,0.9498931668691608,0.045625,22,0,pso,0
34,0.7137615486514687,0.845131262107256,0.9464996438895639,0.056875,20,0.9498931668691608,0.045625,22,0,pso,0
35,-0.5407787596583734,0.845131262107256,0.9860069546273409,0.12133928571428572,21,0.9498931668691608,0.045625,22,0,pso,0
36,0.6633796276900303,0.845131262107256,0.955046294356697,0.059821428571428574,20,0.9498931668691608,0.045625,22,0,pso,0
37,0.7276511773589575,0.845131262107256,0.950270224978005,0.056607142857142856,19,0.9498931668691608,0.045625,22,0,pso,0
38,0.8248061342765771,0.845131262107256,0.955758515228958,0.05178571428571429,20,0.9498931668691608,0.045625,22,0,pso,0
39,0.8559696129069585,0.8559696129069585,0.9529934224307679,0.05008928571428571,20,0.9529934224307679,0.05008928571428571,20,0,pso,0
40,0.7413258679817816,0.8559696129069585,0.9484687251246386,0.05392857142857143,27,0.9529934224307679,0.05008928571428571,20,0,pso,0
41,0.8436926557459467,0.8559696129069585,0.9436926557459466,0.04875,21,0.9529934224307679,0.05008928571428571,20,0,pso,0
42,0.733503982052832,0.8559696129069585,0.9483849344337844,0.05669642857142857,17,0.9529934224307679,0.05008928571428571,20,0,pso,0
43,0.8377718459288697,0.8559696129069585,0.9472956554526792,0.048660714285714286,23,0.9529934224307679,0.05008928571428571,20,0,pso,0
44,0.8677818808616077,0.8677818808616077,0.9534961665758934,0.04973214285714286,18,0.9534961665758934,0.04973214285714286,18,0,pso,0
45,0.6691660482115677,0.8677818808616077,0.9519041434496628,0.059375,20,0.9534961665758934,0.04973214285714286,18,0,pso,0
46,0.5246417947965981,0.8677818808616077,0.949641794796598,0.06625,21,0.9534961665758934,0.04973214285714286,18,0,pso,0
