evaluation,score,best_score,recall,fpr,selected_features,best_recall,best_fpr,best_selected_features,cache_hit,algorithm,seed
91,0.8412143465622873,0.8746804482402957,0.9531191084670493,0.05107142857142857,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
92,0.859759221464781,0.8746804482402957,0.9526163643219239,0.05035714285714286,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
93,0.6684048496854856,0.8746804482402957,0.9487619925426285,0.05973214285714286,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
94,0.6718995698744538,0.8746804482402957,0.9510662365411203,0.05991071428571428,17,0.9556328291926767,0.048482142857142856,17,0,sa,0
95,-0.19327729332128338,0.8746804482402957,0.9710084209644309,0.10392857142857143,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
96,0.8650167880634175,0.8746804482402957,0.9507310737777033,0.04901785714285714,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
97,0.6460600420150465,0.8746804482402957,0.9532028991579036,0.06107142857142857,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
98,0.6442498389024218,0.8746804482402957,0.951987934140517,0.060625,20,0.9556328291926767,0.048482142857142856,17,0,sa,0
99,0.6229224646832213,0.8746804482402957,0.9508986551594117,0.061875,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
100,0.5575126583793683,0.8746804482402957,0.9521555155222254,0.06544642857142857,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
101,0.35700829328337813,0.8746804482402957,0.9546273409024257,0.07535714285714286,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
102,0.5700561746756602,0.8746804482402957,0.9492228413423268,0.06419642857142857,20,0.9556328291926767,0.048482142857142856,17,0,sa,0
103,0.49482929143000787,0.8746804482402957,0.9501864342871507,0.06776785714285714,21,0.9556328291926767,0.048482142857142856,17,0,sa,0
104,0.5344675749976561,0.8746804482402957,0.9493485273786082,0.06598214285714285,20,0.9556328291926767,0.048482142857142856,17,0,sa,0
105,0.5187906110535883,0.8746804482402957,0.9485525158154929,0.06696428571428571,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
106,0.4718418889613746,0.8746804482402957,0.9492228413423268,0.06910714285714285,20,0.9556328291926767,0.048482142857142856,17,0,sa,0
107,0.5708712137081572,0.8746804482402957,0.9458712137081571,0.06446428571428571,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
108,0.4583206151034716,0.8746804482402957,0.9464158531987096,0.07035714285714285,17,0.9556328291926767,0.048482142857142856,17,0,sa,0
109,0.5654808787648453,0.8746804482402957,0.9452427835267502,0.06517857142857143,16,0.9556328291926767,0.048482142857142856,17,0,sa,0
110,0.8585230095222135,0.8746804482402957,0.9442372952364992,0.047589285714285716,18,0.9556328291926767,0.048482142857142856,17,0,sa,0
111,0.6911408800815563,0.8746804482402957,0.9494742134148896,0.05839285714285714,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
112,0.7943194649764889,0.8746804482402957,0.9472956554526792,0.05241071428571428,22,0.9556328291926767,0.048482142857142856,17,0,sa,0
113,0.8411512042916793,0.8746804482402957,0.9459131090535842,0.04839285714285714,22,0.9556328291926767,0.048482142857142856,17,0,sa,0
114,0.8454522602538859,0.8746804482402957,0.9454522602538858,0.04973214285714286,21,0.9556328291926767,0.048482142857142856,17,0,sa,0
115,0.8262370598245583,0.8746804482402957,0.9452846788721773,0.05142857142857143,19,0.9556328291926767,0.048482142857142856,17,0,sa,0
116,0.8348723638351399,0.8746804482402957,0.9449914114541874,0.05026785714285714,22,0.9556328291926767,0.048482142857142856,17,0,sa,0
117,0.835148224734613,0.8746804482402957,0.9464577485441368,0.05008928571428571,23,0.9556328291926767,0.048482142857142856,17,0,sa,0
118,0.8041033498321194,0.8746804482402957,0.9469604926892622,0.05142857142857143,24,0.9556328291926767,0.048482142857142856,17,0,sa,0
119,0.5248931668691609,0.8746804482402957,0.9498931668691608,0.06482142857142857,27,0.9556328291926767,0.048482142857142856,17,0,sa,0
120,0.47062530299312333,0.8746804482402957,0.950982445850266,0.06758928571428571,27,0.9556328291926767,0.048482142857142856,17,0,sa,0
